slug,date,open,high,low,close,currency
EUR/USD,2015-01-01,1.209863,1.209863,1.209863,1.209863,USD
EUR/GBP,2015-01-01,0.77616,0.77616,0.77616,0.77616,GBP
EUR/JPY,2015-01-01,144.779999,144.929993,144.770004,144.779999,JPY
EUR/JPY,2015-01-02,144.889999,145.287994,144.376999,144.929993,JPY
EUR/USD,2015-01-02,1.208868,1.208956,1.20108,1.208941,USD
EUR/GBP,2015-01-02,0.77584,0.78166,0.7745,0.7759,GBP
EUR/JPY,2015-01-05,143.906006,144.141006,142.332001,143.860001,JPY
EUR/GBP,2015-01-05,0.78154,0.78436,0.7801,0.78148,GBP
EUR/USD,2015-01-05,1.1955,1.19759,1.188909,1.194643,USD
EUR/JPY,2015-01-06,142.537994,142.656998,141.391006,142.557007,JPY
EUR/GBP,2015-01-06,0.7823,0.78554,0.7819,0.7824,GBP
EUR/USD,2015-01-06,1.19383,1.197,1.188693,1.193902,USD
EUR/GBP,2015-01-07,0.7843,0.78527,0.7815,0.78444,GBP
EUR/JPY,2015-01-07,140.897995,141.647003,140.792999,140.912003,JPY
EUR/USD,2015-01-07,1.187479,1.19,1.180401,1.187536,USD
EUR/USD,2015-01-08,1.183894,1.184806,1.175601,1.1836,USD
EUR/JPY,2015-01-08,141.175995,141.703995,140.738998,141.156998,JPY
EUR/GBP,2015-01-08,0.78324,0.78533,0.78057,0.7833,GBP
EUR/USD,2015-01-09,1.179426,1.18383,1.176831,1.179607,USD
EUR/JPY,2015-01-09,141.210007,141.347,140.330002,141.244995,JPY
EUR/GBP,2015-01-09,0.78164,0.78245,0.77866,0.78163,GBP
EUR/GBP,2015-01-12,0.78141,0.78291,0.7786,0.78147,GBP
EUR/JPY,2015-01-12,140.330002,140.865997,139.977005,140.326996,JPY
EUR/USD,2015-01-12,1.187014,1.1872,1.1788,1.18707,USD
EUR/GBP,2015-01-13,0.7797,0.7829,0.7756,0.7798,GBP
EUR/USD,2015-01-13,1.183236,1.185902,1.17565,1.183152,USD
EUR/JPY,2015-01-13,139.923004,140.477997,139.339996,139.979996,JPY
EUR/USD,2015-01-14,1.177676,1.184357,1.17306,1.177829,USD
EUR/GBP,2015-01-14,0.77628,0.7781,0.77344,0.7763,GBP
EUR/JPY,2015-01-14,138.701004,138.854996,137.0,138.727005,JPY
EUR/JPY,2015-01-15,138.380005,138.781998,135.419998,138.332993,JPY
EUR/USD,2015-01-15,1.178384,1.178856,1.159229,1.178592,USD
EUR/GBP,2015-01-15,0.7734,0.7745,0.7636,0.77351,GBP
EUR/GBP,2015-01-16,0.7663,0.76709,0.75976,0.7665,GBP
EUR/JPY,2015-01-16,135.119995,135.932007,134.789001,135.136002,JPY
EUR/USD,2015-01-16,1.1639,1.165,1.14643,1.163738,USD
EUR/GBP,2015-01-19,0.7635,0.76745,0.76297,0.7636,GBP
EUR/JPY,2015-01-19,135.889008,136.807999,135.158997,135.949005,JPY
EUR/USD,2015-01-19,1.156377,1.163871,1.155402,1.156604,USD
EUR/USD,2015-01-20,1.159703,1.161599,1.15692,1.159797,USD
EUR/GBP,2015-01-20,0.76843,0.7692,0.76154,0.7685,GBP
EUR/JPY,2015-01-20,136.533005,137.623001,136.503006,136.490997,JPY
EUR/USD,2015-01-21,1.154668,1.1664,1.154374,1.154694,USD
EUR/GBP,2015-01-21,0.7622,0.77124,0.7617,0.7623,GBP
EUR/JPY,2015-01-21,136.957001,137.098007,135.856995,136.990997,JPY
