slug,date,open,high,low,close,currency,paypal_rate,paypal_final_cost,paypal_markup,wise_rate,wise_final_cost,wise_markup,revolut_markup_pct,revolut_rate,revolut_final_cost,revolut_markup,year,month,day_of_week,day_name,quarter,season
EUR/USD,2015-01-01,1.209863,1.209863,1.209863,1.209863,USD,1.24615889,1248.56651737,0.03629589000000011,1.209863,1215.9123149999998,0.0,0.0,1.209863,1209.8629999999998,0.0,2015,1,3,Thursday,1,Winter
EUR/GBP,2015-01-01,0.77616,0.77616,0.77616,0.77616,GBP,0.7994448,800.9893584,0.023284799999999994,0.77616,780.0408,0.0,0.0,0.77616,776.16,0.0,2015,1,3,Thursday,1,Winter
EUR/JPY,2015-01-01,144.779999,144.929993,144.770004,144.779999,JPY,149.12339897,149411.51116801,4.343399970000007,144.779999,145503.89899500003,0.0,0.0,144.779999,144779.999,0.0,2015,1,3,Thursday,1,Winter
EUR/JPY,2015-01-02,144.889999,145.287994,144.376999,144.929993,JPY,149.27789279,149566.30347607002,4.347899790000014,144.929993,145654.64296499998,0.0,0.0,144.929993,144929.993,0.0,2015,1,4,Friday,1,Winter
EUR/USD,2015-01-02,1.208868,1.208956,1.20108,1.208941,USD,1.2452092300000002,1247.61502259,0.03626823000000012,1.208941,1214.985705,0.0,0.0,1.208941,1208.941,0.0,2015,1,4,Friday,1,Winter
EUR/GBP,2015-01-02,0.77584,0.78166,0.7745,0.7759,GBP,0.799177,800.721041,0.023276999999999992,0.7759,779.7795000000001,0.0,0.0,0.7759,775.9000000000001,0.0,2015,1,4,Friday,1,Winter
EUR/JPY,2015-01-05,143.906006,144.141006,142.332001,143.860001,JPY,148.17580103,148462.08243199,4.315800029999991,143.860001,144579.30100500002,0.0,0.0,143.860001,143860.00100000002,0.0,2015,1,0,Monday,1,Winter
EUR/GBP,2015-01-05,0.78154,0.78436,0.7801,0.78148,GBP,0.8049244,806.4795452,0.023444400000000032,0.78148,785.3874,0.0,0.0,0.78148,781.4799999999999,0.0,2015,1,0,Monday,1,Winter
EUR/USD,2015-01-05,1.1955,1.19759,1.188909,1.194643,USD,1.2304822899999999,1232.85962957,0.03583928999999997,1.194643,1200.6162149999998,0.0,0.0,1.194643,1194.6429999999998,0.0,2015,1,0,Monday,1,Winter
EUR/JPY,2015-01-06,142.537994,142.656998,141.391006,142.557007,JPY,146.83371721,147117.40565393,4.2767102100000045,142.557007,143269.79203500002,0.0,0.0,142.557007,142557.007,0.0,2015,1,1,Tuesday,1,Winter
EUR/GBP,2015-01-06,0.7823,0.78554,0.7819,0.7824,GBP,0.805872,807.428976,0.02347200000000005,0.7824,786.312,0.0,0.0,0.7824,782.4,0.0,2015,1,1,Tuesday,1,Winter
EUR/USD,2015-01-06,1.19383,1.197,1.188693,1.193902,USD,1.22971906,1232.09492498,0.03581706000000007,1.193902,1199.87151,0.0,0.0,1.193902,1193.902,0.0,2015,1,1,Tuesday,1,Winter
EUR/GBP,2015-01-07,0.7843,0.78527,0.7815,0.78444,GBP,0.8079732000000001,809.5342356,0.023533200000000032,0.78444,788.3622,0.0,0.0,0.78444,784.44,0.0,2015,1,2,Wednesday,1,Winter
EUR/JPY,2015-01-07,140.897995,141.647003,140.792999,140.912003,JPY,145.13936309,145419.77797597,4.227360089999991,140.912003,141616.563015,0.0,0.0,140.912003,140912.003,0.0,2015,1,2,Wednesday,1,Winter
EUR/USD,2015-01-07,1.187479,1.19,1.180401,1.187536,USD,1.22316208,1225.5252766400001,0.035626080000000115,1.187536,1193.4736799999998,0.0,0.0,1.187536,1187.5359999999998,0.0,2015,1,2,Wednesday,1,Winter
EUR/USD,2015-01-08,1.183894,1.184806,1.175601,1.1836,USD,1.219108,1221.4633640000002,0.035508000000000095,1.1836,1189.5179999999998,0.0,0.0,1.1836,1183.6,0.0,2015,1,3,Thursday,1,Winter
EUR/JPY,2015-01-08,141.175995,141.703995,140.738998,141.156998,JPY,145.39170794,145672.61036602,4.234709940000016,141.156998,141862.78298999998,0.0,0.0,141.156998,141156.998,0.0,2015,1,3,Thursday,1,Winter
EUR/GBP,2015-01-08,0.78324,0.78533,0.78057,0.7833,GBP,0.806799,808.3577670000001,0.023499000000000048,0.7833,787.2165,0.0,0.0,0.7833,783.3,0.0,2015,1,3,Thursday,1,Winter
EUR/USD,2015-01-09,1.179426,1.18383,1.176831,1.179607,USD,1.21499521,1217.34262793,0.03538821000000003,1.179607,1185.505035,0.0,0.0,1.179607,1179.607,0.0,2015,1,4,Friday,1,Winter
EUR/JPY,2015-01-09,141.210007,141.347,140.330002,141.244995,JPY,145.48234485,145763.42239005,4.237349850000015,141.244995,141951.21997499999,0.0,0.0,141.244995,141244.995,0.0,2015,1,4,Friday,1,Winter
