,,,close,close
,,,mean,std
slug,day_name,day_of_week,,
EUR/GBP,Friday,4,0.8356,0.0654
EUR/GBP,Monday,0,0.8359,0.0656
EUR/GBP,Thursday,3,0.8353,0.0656
EUR/GBP,Tuesday,1,0.8363,0.0657
EUR/GBP,Wednesday,2,0.8359,0.0657
EUR/JPY,Friday,4,126.9265,6.5904
EUR/JPY,Monday,0,126.8116,6.5826
EUR/JPY,Thursday,3,126.9339,6.6289
EUR/JPY,Tuesday,1,126.8238,6.5979
EUR/JPY,Wednesday,2,126.9183,6.5568
EUR/USD,Friday,4,1.1304,0.043
EUR/USD,Monday,0,1.1298,0.0434
EUR/USD,Thursday,3,1.1302,0.0434
EUR/USD,Tuesday,1,1.13,0.0435
EUR/USD,Wednesday,2,1.13,0.0435
