,,close,close,close,close
,,mean,min,max,std
slug,month,,,,
EUR/GBP,1,0.832,0.7327,0.904,0.059
EUR/GBP,2,0.8245,0.7267,0.8897,0.0571
EUR/GBP,3,0.8219,0.706,0.8932,0.0611
EUR/GBP,4,0.8189,0.7131,0.8801,0.057
EUR/GBP,5,0.8226,0.707,0.8834,0.0608
EUR/GBP,6,0.8298,0.6992,0.8971,0.0675
EUR/GBP,7,0.8424,0.6941,0.9174,0.0735
EUR/GBP,8,0.8605,0.6986,0.9322,0.0745
EUR/GBP,9,0.8461,0.7215,0.9203,0.0674
EUR/GBP,10,0.8529,0.7155,0.9039,0.0632
EUR/GBP,11,0.841,0.6994,0.9034,0.0683
EUR/GBP,12,0.8379,0.7019,0.9063,0.062
EUR/JPY,1,129.7025,120.739,144.93,6.4649
EUR/JPY,2,128.2751,118.384,136.955,5.4989
EUR/JPY,3,126.6007,119.44,134.34,3.9594
EUR/JPY,4,125.8843,114.932,133.15,4.8853
EUR/JPY,5,126.7964,121.418,136.563,4.6772
EUR/JPY,6,126.574,112.127,140.509,7.1866
EUR/JPY,7,126.4339,111.202,136.722,7.3227
EUR/JPY,8,125.2247,112.673,138.768,8.5007
EUR/JPY,9,126.9891,112.347,136.997,8.4764
EUR/JPY,10,126.8037,113.066,136.62,7.8935
EUR/JPY,11,125.9124,114.384,133.735,6.3839
EUR/JPY,12,127.4623,120.119,134.778,5.1876
EUR/USD,1,1.1363,1.042,1.2428,0.0581
EUR/USD,2,1.136,1.0542,1.251,0.0566
EUR/USD,3,1.1253,1.0482,1.2457,0.0595
EUR/USD,4,1.1275,1.0573,1.2385,0.0567
EUR/USD,5,1.1312,1.0865,1.2081,0.0307
EUR/USD,6,1.1328,1.0923,1.1808,0.0199
EUR/USD,7,1.1294,1.083,1.1757,0.0278
EUR/USD,8,1.1375,1.0889,1.197,0.0297
EUR/USD,9,1.146,1.0969,1.2029,0.0319
EUR/USD,10,1.1337,1.0875,1.1865,0.0292
EUR/USD,11,1.114,1.0545,1.1926,0.0386
EUR/USD,12,1.1138,1.039,1.1942,0.0445
